"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Eastern Buffer","EM1","1986-07-07","1","Surface Water","2.3","0.38","14","66","4.6","3500","3500","0.092","0.028","0.039","8.1","7.1","23.9","1.3","1.8","3.5","26.5","0.5","1.4","1.52","0.09","3.1","0.026","N/A"
"Eastern Buffer","EM1","1986-07-07","1","Middle Water","0.6","0.079","5","60","4.3","N/A","N/A","0.055","0.031","0.02","8","2.4","30.7","0.98","1.8","2","23.2","0.17","0.83","0.92","0.05","1.9","0.003","N/A"
"Eastern Buffer","EM1","1986-07-07","1","Bottom Water","0.6","0.069","6.3","59","4.2","2400","2400","0.052","0.031","0.02","8","3.6","30.8","1.3","1.8","1.5","22.6","0.15","0.32","0.4","0.08","2.4","0.003","N/A"
"Eastern Buffer","EM1","1986-08-04","1","Surface Water","3.1","0.022","6.6","115","8.1","1300","1400","0.018","0.01","0.02","8.3","5.7","30.3","0.11","2","2.5","26.4","0.05","0.71","0.74","0.08","3.4","0.002","N/A"
"Eastern Buffer","EM1","1986-08-04","1","Middle Water","2.2","0.02","5.6","97","6.9","N/A","N/A","0.024","0.013","0.029","8.2","3","31","0.11","2","3.5","26.1","0.06","0.74","0.78","0.08","4.5","0.001","N/A"
"Eastern Buffer","EM1","1986-08-04","1","Bottom Water","2","0.22","22","71","5.1","2400","2400","0.029","0.017","0.029","8.2","9.2","31.3","0.17","2","5.5","25.2","0.27","0.65","0.7","0.09","4.1","0.014","N/A"
"Eastern Buffer","EM1","1986-09-01","1","Surface Water","1","0.289","10","54","3.4","7600","7800","0.031","0.029","0.05","7.9","2.7","30.8","0.31","1.9","1","29.5","0.35","0.78","0.84","0.06","3.4","0.013","N/A"
"Eastern Buffer","EM1","1986-09-01","1","Middle Water","0.5","0.25","2.7","44","2.8","N/A","N/A","0.022","0.033","0.039","7.8","0.5","32.1","0.85","1.9","8","28.6","0.31","0.58","0.64","0.06","5","0.01","1.5"
"Eastern Buffer","EM1","1986-09-01","1","Bottom Water","0.7","0.19","1.5","49","3.2","3400","3600","0.019","0.033","0.039","7.9","0.9","32.5","0.96","1.9","4.5","28.5","0.24","0.7","0.75","0.06","5.1","0.007","1.5"
"Eastern Buffer","EM1","1986-10-10","1","Surface Water","1.3","0.369","2.1","43","2.9","160","1700","0.06","0.029","0.05","8.1","0.3","32.8","0.82","1.5","6","27.1","0.46","0.63","0.72","0.06","5.3","0.022","1.5"
"Eastern Buffer","EM1","1986-10-10","1","Middle Water","1.2","0.33","1.5","47","3.1","N/A","N/A","0.05","0.02","0.05","8.1","0.6","32.9","0.83","1.5","2","27","0.4","0.49","0.56","0.1","6.1","0.021","1"
"Eastern Buffer","EM1","1986-10-10","1","Bottom Water","1.3","0.3","1","60","4","510","610","0.046","0.024","0.029","8.2","0.9","33","1","1.5","11","26.9","0.37","0.52","0.59","0.05","10","0.023","<0.5"
"Eastern Buffer","EM1","1986-11-10","1","Surface Water","0.4","0.139","1.7","82","5.8","80","130","0.04","0.022","0.029","8.2","0.4","33.5","0.65","N/A","3","23.5","0.2","0.38","0.44","0.03","3.8","0.009","1"
"Eastern Buffer","EM1","1986-11-10","1","Middle Water","0.6","0.13","2.5","81","5.7","N/A","N/A","0.031","0.022","0.029","8.2","<0.2","33.5","0.64","N/A","4","23.4","0.18","0.38","0.43","0.04","5.6","0.008","1.5"
"Eastern Buffer","EM1","1986-11-10","1","Bottom Water","0.7","0.13","1.7","81","5.7","430","460","0.031","0.019","0.029","8.2","0.8","33.4","0.69","N/A","3.5","23.4","0.18","0.38","0.43","0.04","5.2","0.007","1.5"
"Eastern Buffer","EM1","1986-12-08","1","Surface Water","0.3","0.086","1.3","81","6.2","530","530","0.11","0.019","0.029","8.1","<0.2","31.8","2.3","1.9","3","19.2","0.22","0.34","0.47","0.07","3","0.003","1"
"Eastern Buffer","EM1","1986-12-08","1","Middle Water","0.2","0.096","0.8","81","6.2","N/A","N/A","0.11","0.02","0.029","8.1","0.3","31.8","2.3","1.9","1","19.2","0.23","0.43","0.56","0.08","3","0.004","0.5"
"Eastern Buffer","EM1","1986-12-08","1","Bottom Water","0.2","0.09","1","81","6.2","600","600","0.1","0.02","0.029","8.1","<0.2","31.7","2.4","1.9","3","19.2","0.21","0.36","0.48","0.06","3.8","0.003","1.5"
"Eastern Buffer","EM1","1987-01-09","1","Surface Water","0.6","0.21","6.7","73","5.6","470","590","0.087","0.029","0.06","8","1.3","31.3","0.99","3.6","2.5","18.2","0.33","0.84","0.96","0.13","2.2","0.005","2"
"Eastern Buffer","EM1","1987-01-09","1","Middle Water","0.5","0.19","5.7","75","5.8","N/A","N/A","0.092","0.055","0.05","8","1.8","31.4","0.98","3.6","1.5","18","0.34","0.78","0.93","0.1","1.9","0.005","0.5"
"Eastern Buffer","EM1","1987-01-09","1","Bottom Water","0.3","0.16","1.9","77","6","760","780","0.085","0.024","0.039","8","<0.2","30.6","0.93","3.6","1.5","18","0.27","0.7","0.81","0.06","3.7","0.004","1"
"Eastern Buffer","EM1","1987-02-09","1","Surface Water","1.2","0.149","1","86","6.8","660","750","0.03","0.077","<0.01","8.1","<0.2","32.2","0.59","3.5","1","17.2","0.26","0.32","0.43","0.16","1.8","0.005","1"
"Eastern Buffer","EM1","1987-02-09","1","Middle Water","1.2","0.149","1","89","7.1","N/A","N/A","0.039","0.056","0.01","8.1","<0.2","32.2","0.55","3.5","1","17.2","0.24","0.25","0.35","0.11","1.7","0.005","1"
"Eastern Buffer","EM1","1987-02-09","1","Bottom Water","1","0.053","1","89","7.1","270","310","0.048","0.023","<0.01","8.2","<0.2","32.2","0.51","3.5","1.5","17.1","0.12","0.18","0.25","0.08","1.9","0.002","1"
"Eastern Buffer","EM1","1987-03-09","1","Surface Water","0.5","0.32","<0.2","70","5.3","160","210","0.051","0.016","0.06","7.8","1.3","32.8","0.74","6","5","19.6","0.39","0.33","0.4","0.12","1.3","0.006","3"
"Eastern Buffer","EM1","1987-03-09","1","Middle Water","0.7","0.259","<0.2","67","5.1","N/A","N/A","0.037","0.013","0.05","7.8","0.4","33.2","0.66","6","2","19.3","0.31","0.41","0.46","0.05","1.4","0.005","1.5"
"Eastern Buffer","EM1","1987-03-09","1","Bottom Water","0.2","0.149","0.4","74","5.7","400","430","0.021","0.009","0.029","7.9","<0.2","33.8","0.52","6","5.5","19.2","0.18","0.28","0.31","0.03","6.9","0.004","2"
"Eastern Buffer","EM1","1987-04-02","1","Surface Water","1.5","0.35","<0.2","73","5.5","3000","3100","0.037","0.044","0.029","8","<0.2","32.4","0.74","2","31","20.4","0.43","0.53","0.61","0.07","5.8","0.01","4.5"
"Eastern Buffer","EM1","1987-04-02","1","Middle Water","0.9","0.24","<0.2","73","5.5","N/A","N/A","0.02","0.09","0.029","8","1.4","32.4","0.83","2","8.5","20.5","0.35","0.44","0.55","0.09","6.8","0.007","2"
"Eastern Buffer","EM1","1987-04-02","1","Bottom Water","0.7","0.19","<0.2","82","6.1","2900","2900","0.034","0.069","0.02","8","0.5","32.5","0.59","2","9.5","20.3","0.29","0.31","0.41","0.11","7.9","0.006","2"
"Eastern Buffer","EM1","1987-05-08","1","Surface Water","1","0.21","0.4","66","4.8","3700","3700","0.029","0.023","0.028","7.9","0.6","32.5","0.44","2.8","3.5","22.8","0.26","0.53","0.58","0.04","1.8","0.006","1.5"
"Eastern Buffer","EM1","1987-05-08","1","Middle Water","1","0.19","0.4","67","4.9","N/A","N/A","0.025","0.022","0.029","7.9","<0.2","32.7","0.38","2.8","5","22.7","0.24","0.46","0.51","0.04","1.7","0.005","2"
"Eastern Buffer","EM1","1987-05-08","1","Bottom Water","0.8","0.08","0.4","71","5.2","1100","1100","0.023","0.02","0.021","7.9","<0.2","32.9","0.35","2.8","4.5","22.6","0.12","0.19","0.23","0.05","3.4","0.002","1.5"
"Eastern Buffer","EM1","1987-06-08","1","Surface Water","2.2","0.044","27","85","5.8","1500","1500","0.13","0.038","0.016","8.2","4","27.2","0.16","3.5","9","25.4","0.21","0.53","0.7","0.04","2.4","0.003","3"
"Eastern Buffer","EM1","1987-06-08","1","Middle Water","1","0.011","8.2","59","4.1","N/A","N/A","0.075","0.04","0.031","8","2.9","32.5","0.45","3.5","4","24","0.13","0.5","0.62","0.08","2.2","0.001","2"
"Eastern Buffer","EM1","1987-06-08","1","Bottom Water","0.5","0.071","2.7","58","4.1","3700","3700","0.033","0.038","0.013","8","0.5","33.2","0.72","3.5","4.5","23.8","0.14","0.24","0.31","0.04","2.7","0.003","2.5"
"Eastern Buffer","EM1","1987-07-10","1","Surface Water","2.5","0.11","30","51","3.5","1300","1400","0.14","0.019","0.009","8.3","4.9","26.7","0.54","2.5","5.5","26.7","0.27","0.48","0.64","0.09","4.7","0.01","2"
"Eastern Buffer","EM1","1987-07-10","1","Middle Water","2","0.13","18","47","3.2","N/A","N/A","0.12","0.021","0.014","8.1","7.3","28.9","0.69","2.5","10","25.9","0.27","0.71","0.85","0.13","7.8","0.008","2.5"
"Eastern Buffer","EM1","1987-07-10","1","Bottom Water","0.8","0.19","4","32","2.2","5900","7300","0.078","0.026","0.034","7.9","0.4","32.1","1.1","2.5","13","24","0.29","0.55","0.65","0.08","15","0.007","2"
"Eastern Buffer","EM1","1987-08-07","1","Surface Water","1.7","0.04","17","74","5.1","4200","5200","0.097","0.017","0.013","8.2","6.9","29.4","0.23","1.8","9.5","24.3","0.15","0.11","0.22","0.06","6","0.003","3.5"
"Eastern Buffer","EM1","1987-08-07","1","Middle Water","0.6","0.033","2.1","52","3.6","N/A","N/A","0.069","0.016","0.026","8","1.6","33.6","0.83","1.8","11","22","0.12","0.17","0.26","0.08","11.5","0.001","2"
"Eastern Buffer","EM1","1987-08-07","1","Bottom Water","0.7","0.038","1.9","55","3.6","4800","5500","0.07","0.016","0.026","8","1.7","34.1","0.8","1.8","14","21.7","0.12","0.12","0.21","0.06","11","0.001","3.5"
"Eastern Buffer","EM1","1987-09-07","1","Surface Water","1","0.12","6.1","60","4.1","6900","7700","0.052","0.013","0.023","8.2","4.2","31.3","0.4","1.5","11","25.6","0.19","0.9","0.97","0.07","17","0.008","4"
"Eastern Buffer","EM1","1987-09-07","1","Middle Water","1.2","0.13","6.9","59","4","N/A","N/A","0.053","0.013","0.025","8.2","4.3","31.4","0.4","1.5","13","25.6","0.2","0.85","0.92","0.07","13","0.009","5.5"
"Eastern Buffer","EM1","1987-09-07","1","Bottom Water","1.3","0.12","7.1","58","4","8600","8800","0.053","0.013","0.027","8.2","2.8","31.4","0.46","1.5","12","25.4","0.19","1","1.07","0.09","12","0.008","4.5"
"Eastern Buffer","EM1","1987-10-09","1","Surface Water","0.9","0.27","6.9","72","4.8","14000","14000","0.043","0.031","0.047","7.8","2.1","32.4","0.46","1.6","2.5","27.5","0.34","1.1","1.17","0.14","8.5","0.009","1.5"
"Eastern Buffer","EM1","1987-10-09","1","Middle Water","0.9","0.3","5.9","71","4.7","N/A","N/A","0.042","0.03","0.051","7.8","2.8","32.5","0.4","1.6","4","27.4","0.37","1.1","1.17","0.13","11","0.009","1.5"
"Eastern Buffer","EM1","1987-10-09","1","Bottom Water","1","0.27","5.3","69","4.6","19000","20000","0.055","0.03","0.063","7.7","2.4","32.6","0.56","1.6","9","27.4","0.36","0.78","0.87","0.11","8.2","0.008","2.5"
"Eastern Buffer","EM1","1987-11-05","1","Surface Water","0.7","0.15","1.5","72","5","7300","7900","0.049","0.031","0.033","8.1","<0.2","33.4","1.1","2.3","5.5","24.7","0.23","0.58","0.66","0.07","9.5","0.007","2.5"
"Eastern Buffer","EM1","1987-11-05","1","Middle Water","0.6","0.19","1.5","73","5","N/A","N/A","0.047","0.031","0.033","8.1","<0.2","33.4","1.1","2.3","7","24.7","0.27","0.69","0.77","0.07","10.5","0.009","2"
"Eastern Buffer","EM1","1987-11-05","1","Bottom Water","0.7","0.19","1","76","5.2","6100","6500","0.042","0.031","0.03","8.1","<0.2","33.4","1.1","2.3","7.5","24.7","0.26","0.58","0.65","0.07","10","0.009","2"
"Eastern Buffer","EM1","1987-12-07","1","Surface Water","0.2","0.02","1.7","80","6.2","960","1100","0.064","0.011","0.02","8.2","0.3","33","1.2","2.2","3","18","0.1","0.38","0.46","0.02","4.1","0.001","2"
"Eastern Buffer","EM1","1987-12-07","1","Middle Water","0.4","0.031","1.7","79","6.2","N/A","N/A","0.064","0.016","0.03","8.3","0.2","33","1.2","2.2","5","17.9","0.11","0.44","0.52","0.06","5.5","0.001","2"
"Eastern Buffer","EM1","1987-12-07","1","Bottom Water","0.1","0.039","1.5","83","6.5","950","1000","0.063","0.012","0.02","8.2","<0.2","33","1.4","2.2","7","17.8","0.11","0.33","0.41","0.03","6.1","0.002","2"
"Eastern Buffer","EM1","1988-01-07","1","Surface Water","0.9","0.2","2.1","82","6.5","370","470","0.093","0.018","0.04","8.1","1.1","31.4","1","4.3","5","18","0.31","0.9","1.01","0.09","3.9","0.007","2.5"
"Eastern Buffer","EM1","1988-01-07","1","Middle Water","0.8","0.16","2.7","83","6.6","N/A","N/A","0.088","0.017","0.034","8.2","0.4","31.5","1.1","4.3","5.5","17.7","0.27","0.67","0.78","0.06","3.5","0.006","3"
"Eastern Buffer","EM1","1988-01-07","1","Bottom Water","0.6","0.12","1.7","87","6.8","300","360","0.085","0.016","0.025","8.2","1","31.6","0.99","4.3","6.5","17.7","0.22","0.58","0.68","0.06","3.1","0.005","4"
"Eastern Buffer","EM1","1988-02-08","1","Surface Water","0.6","0.074","2.3","84","6.7","1500","1800","0.033","0.043","0.02","8.1","<0.2","32.9","0.7","2.5","3.5","17.6","0.15","0.44","0.52","0.05","4.6","0.002","2"
"Eastern Buffer","EM1","1988-02-08","1","Middle Water","0.9","0.061","1.9","86","6.8","560","580","0.034","0.04","0.02","8.1","<0.2","32.9","0.67","2.5","7.5","17.6","0.14","0.39","0.46","0.05","6.3","0.002","4.5"
"Eastern Buffer","EM1","1988-02-08","1","Bottom Water","0.6","0.076","1.3","87","6.8","1000","1000","0.035","0.042","0.03","8","0.7","32.9","0.76","2.5","4.5","17.6","0.15","0.35","0.43","0.03","3.8","0.002","3"
"Eastern Buffer","EM1","1988-03-07","1","Surface Water","0.7","0.14","1.5","68","5.6","1500","1700","0.089","0.015","0.028","8","0.5","31.9","1","4.3","7.5","15","0.24","0.58","0.68","0.12","3.1","0.003","2.5"
"Eastern Buffer","EM1","1988-03-07","1","Middle Water","0.7","0.12","1.3","69","5.7","2100","2300","0.09","0.017","0.026","8","<0.2","32","1","4.3","7","14.9","0.23","0.66","0.77","0.17","1.4","0.003","2.5"
"Eastern Buffer","EM1","1988-03-07","1","Bottom Water","0.7","0.1","1","70","5.8","900","900","0.09","0.014","0.025","8","0.2","32.1","1.1","4.3","19","14.9","0.2","0.63","0.73","0.08","2.3","0.002","5.5"
"Eastern Buffer","EM1","1988-04-11","1","Surface Water","0.1","0.005","2.7","98","7.8","160","200","0.022","0.002","0.005","8.3","0.8","32.9","0.6","2","2","16.9","0.03","0.52","0.54","<0.02","6.2","0.001","1.5"
"Eastern Buffer","EM1","1988-04-11","1","Middle Water","0.3","0.006","3.2","97","7.7","180","180","0.015","0.002","0.005","8.3","<0.2","32.8","0.61","2","4.5","16.9","0.02","0.56","0.58","<0.02","7.6","0.001","2.5"
"Eastern Buffer","EM1","1988-04-11","1","Bottom Water","<0.1","0.017","1.9","96","7.6","230","230","0.025","0.002","0.005","8.3","0.9","32.8","0.68","2","4","16.9","0.04","0.4","0.43","0.02","10.1","0.001","1.5"
"Eastern Buffer","EM1","1988-05-12","1","Surface Water","2.5","0.21","5","78","5.3","1600","1600","0.048","0.012","0.053","8.1","0.5","32.2","0.36","3.5","1","24.8","0.27","0.77","0.83","0.08","4","0.011","1"
"Eastern Buffer","EM1","1988-05-12","1","Middle Water","1.3","0.1","1.5","76","5.3","6500","7600","0.03","0.009","0.025","8.1","1.4","33.7","0.41","3.5","1.5","23.1","0.14","0.58","0.62","0.06","3.5","0.005","1"
"Eastern Buffer","EM1","1988-05-12","1","Bottom Water","1.5","0.091","2.3","76","5.3","2500","2700","0.027","0.007","0.018","8.1","0.9","33.8","0.37","3.5","4","23","0.13","0.5","0.53","0.05","3.3","0.005","2"
"Eastern Buffer","EM1","1988-06-06","1","Surface Water","0.7","0.072","10","88","5.8","1","1","0.019","0.005","0.008","8.1","4.6","33.4","0.08","2.5","1","26.6","0.1","0.52","0.54","0.04","4.2","0.005","0.5"
"Eastern Buffer","EM1","1988-06-06","1","Middle Water","0.7","0.066","8","84","5.6","80","100","0.025","0.005","<0.005","8.2","4.8","33.5","<0.05","2.5","2.5","26.1","0.1","0.48","0.51","0.03","6.2","0.004","0.5"
"Eastern Buffer","EM1","1988-06-06","1","Bottom Water","0.6","0.061","8.4","81","5.4","20","20","0.022","0.005","<0.005","8.1","3.8","33.8","0.26","2.5","4","25.8","0.09","0.45","0.48","0.03","6.6","0.004","1.5"
"Eastern Buffer","EM1","1988-07-08","1","Surface Water","1.4","0.012","37","86","5.8","700","900","0.042","0.026","<0.005","8.3","14","29","0.32","2","7","25.8","0.08","0.43","0.5","0.02","4.5","0.001","3"
"Eastern Buffer","EM1","1988-07-08","1","Middle Water","0.6","0.072","1.7","67","4.7","4600","4800","0.025","0.027","0.011","8.1","2.8","33.2","0.66","2","7","23.5","0.12","0.57","0.62","0.05","5.5","0.003","2.5"
"Eastern Buffer","EM1","1988-07-08","1","Bottom Water","2.8","0.05","1.9","69","4.8","2600","2600","0.022","0.027","0.018","8.1","1.4","33.5","0.75","2","6","23.3","0.1","0.58","0.63","0.05","5.9","0.002","2"
"Eastern Buffer","EM1","1988-08-12","1","Surface Water","0.8","0.034","6.3","91","6.1","210","230","0.018","0.008","0.005","8.4","1.8","31","0.05","4.8","2","26.8","0.06","0.26","0.29","<0.02","2.3","0.004","1.5"
"Eastern Buffer","EM1","1988-08-12","1","Middle Water","0.5","0.12","5.3","57","4","1700","1900","0.038","0.019","0.02","8.3","4.5","32.4","0.21","4.8","3.5","24.5","0.18","0.43","0.49","0.04","3.5","0.009","1.5"
"Eastern Buffer","EM1","1988-08-12","1","Bottom Water","0.3","0.16","3.4","52","3.6","3100","4600","0.045","0.03","0.02","8.2","1.9","33.1","0.53","4.8","4","23.8","0.24","0.36","0.44","0.02","4.8","0.009","1"
"Eastern Buffer","EM1","1988-09-13","1","Surface Water","2.2","0.005","12","106","7.3","4400","4400","0.036","0.011","<0.005","8.5","2.3","30.3","0.06","1.8","5","26","0.05","0.41","0.46","0.03","1.5","0.001","1.5"
"Eastern Buffer","EM1","1988-09-13","1","Middle Water","1.5","0.066","12","78","5.4","5700","5900","0.049","0.018","0.012","8.1","3.9","32.1","0.18","1.8","2","24.7","0.13","0.42","0.49","0.04","6.5","0.003","1.5"
"Eastern Buffer","EM1","1988-09-13","1","Bottom Water","2.1","0.022","4.6","55","3.9","6100","6900","0.043","0.014","0.007","8.4","4.5","33","0.11","1.8","7","23.5","0.08","0.34","0.4","0.04","5","0.002","0.5"
"Eastern Buffer","EM1","1988-10-07","1","Surface Water","0.5","0.12","2.3","68","4.7","10","20","0.041","0.026","0.012","8.3","0.9","31.9","1","2.2","1.5","24.9","0.19","0.71","0.78","0.04","3.3","0.011","1.5"
"Eastern Buffer","EM1","1988-10-07","1","Middle Water","0.4","<0.005","1.3","69","4.8","1","20","0.044","0.026","0.005","8.3","1.3","31.9","1.1","2.2","5.5","24.7","0.08","0.63","0.7","0.03","5.3","0.001","2"
"Eastern Buffer","EM1","1988-10-07","1","Bottom Water","0.5","0.14","1.5","72","4.9","1","1","0.041","0.026","0.018","8.4","0.5","31.9","1.1","2.2","6","24.7","0.21","0.7","0.77","0.04","6.3","0.013","2"
"Eastern Buffer","EM1","1988-11-18","1","Surface Water","0.4","0.43","<0.2","49","3.6","90","90","0.13","0.024","0.072","8","0.7","31.1","1.7","2","2.5","21.4","0.58","0.72","0.87","0.09","3.2","0.014","1"
"Eastern Buffer","EM1","1988-11-18","1","Middle Water","0.3","0.42","0.2","50","3.7","150","170","0.13","0.023","0.07","8","0.5","31.1","1.7","2","2","21.4","0.57","0.58","0.73","0.1","3.5","0.014","0.5"
"Eastern Buffer","EM1","1988-11-18","1","Bottom Water","0.3","0.42","0.6","52","3.8","170","190","0.12","0.022","0.066","8","0.4","31.2","1.8","2","2","21.4","0.56","0.67","0.81","0.11","3.8","0.015","0.5"
"Eastern Buffer","EM1","1988-12-12","1","Surface Water","0.2","0.21","1","78","5.9","200","200","0.068","0.013","0.03","8.3","0.8","31","0.44","2.5","4","19.2","0.29","0.47","0.55","0.06","4","0.011","1.5"
"Eastern Buffer","EM1","1988-12-12","1","Middle Water","0.2","0.19","0.8","79","6.1","1500","1600","0.064","0.013","0.029","8.3","1.4","31.1","0.43","2.5","6.5","19","0.27","0.46","0.54","0.04","7.3","0.011","1.5"
"Eastern Buffer","EM1","1988-12-12","1","Bottom Water","0.2","0.16","1","83","6.4","1800","1800","0.055","0.011","0.022","8.3","1.3","31.1","0.4","2.5","12","19","0.23","0.46","0.53","0.05","14.7","0.009","2.5"
"Eastern Buffer","EM1","1989-01-09","1","Surface Water","0.3","0.15","0.6","79","6.2","1200","1300","0.075","0.018","0.028","8.3","0.2","31.7","1.1","2.1","4.5","17.5","0.24","0.5","0.59","0.04","5.9","0.008","1.5"
"Eastern Buffer","EM1","1989-01-09","1","Middle Water","0.2","0.13","0.4","84","6.6","800","900","0.068","0.017","0.026","8.3","0.3","31.7","1","2.1","5","17.4","0.22","0.49","0.58","0.04","7.8","0.007","1"
"Eastern Buffer","EM1","1989-01-09","1","Bottom Water","0.3","0.12","0.4","85","6.7","700","700","0.067","0.017","0.024","8.4","0.4","31.7","0.99","2.1","5","17.3","0.2","0.38","0.46","0.04","7.8","0.007","1"
"Eastern Buffer","EM1","1989-02-13","1","Surface Water","0.7","0.07","3.6","89","7.4","70","70","0.095","0.013","0.02","8.3","1","31.9","0.8","3.3","4","15","0.18","1.1","1.21","0.04","3.8","0.003","1.5"
"Eastern Buffer","EM1","1989-02-13","1","Middle Water","0.5","0.079","3.6","90","7.5","8500","9800","0.093","0.013","0.021","8.3","1.3","31.9","0.88","3.3","3.5","14.9","0.19","0.28","0.39","0.04","3.9","0.003","1.5"
"Eastern Buffer","EM1","1989-02-13","1","Bottom Water","0.6","0.064","4","91","7.6","110","120","0.11","0.014","0.021","8.3","0.9","31.9","0.82","3.3","3","14.9","0.19","0.24","0.36","0.04","4","0.002","1.5"
"Eastern Buffer","EM1","1989-03-10","1","Surface Water","0.7","0.11","1.6","87","7.1","310","360","0.03","0.007","0.015","8.3","<0.2","33.1","0.64","2.2","4","15.8","0.15","0.43","0.47","0.04","2.7","0.005","1"
"Eastern Buffer","EM1","1989-03-10","1","Middle Water","0.3","0.096","1.1","90","7.4","270","290","0.042","0.01","0.009","8.3","<0.2","33.2","0.72","2.2","4","15.7","0.15","0.35","0.4","0.04","2.7","0.004","1"
"Eastern Buffer","EM1","1989-03-10","1","Bottom Water","0.2","0.079","0.9","94","7.6","220","230","0.028","0.007","0.01","8.3","0.5","33.4","0.66","2.2","4.5","15.9","0.11","0.35","0.39","0.03","2.8","0.004","1.5"
"Eastern Buffer","EM1","1989-04-10","1","Surface Water","0.3","0.19","0.7","68","5.3","1400","1400","0.034","0.007","0.04","8.2","0.7","33","0.65","2.2","2","18.4","0.23","0.44","0.48","0.04","5.1","0.008","0.5"
"Eastern Buffer","EM1","1989-04-10","1","Middle Water","0.3","0.17","<0.2","70","5.5","1500","1600","0.035","0.007","0.015","8.2","1.4","33.1","0.63","2.2","2","18.2","0.21","0.4","0.44","0.04","6.2","0.006","1"
"Eastern Buffer","EM1","1989-04-10","1","Bottom Water","0.3","0.14","0.5","78","6.1","1600","1600","0.034","0.007","<0.005","8.1","0.3","33.3","0.75","2.2","1.5","18.2","0.18","0.42","0.46","0.03","6.6","0.005","<0.5"
